family	criterion_status	criterion_path	criterion_symbol	rust_status	rust_path	rust_symbol	python_status	python_path	python_symbol	note
activation	partial	crates/coeus-nn/benches/nn_bench.rs	bench_relu_forward	present	crates/coeus-nn/tests/nn_ops/activations/nn_activation_tests.rs	test_elu_activation	present	crates/coeus-python/tests/test_pytorch_parity.py	test_relu_matches_pytorch	Criterion covers representative activations; the family has operations without dedicated measurements.
attention	present	crates/coeus-nn/benches/nn_bench.rs	bench_mha_forward	present	crates/coeus-nn/tests/nn_ops/tensor/nn_parity/attention.rs	test_mha_parity	present	crates/coeus-python/tests/test_pytorch_parity.py	test_mha_matches_pytorch	Multi-head attention has Criterion and independent parity evidence.
bilinear	present	crates/coeus-nn/benches/nn_bench.rs	bench_bilinear_forward	present	crates/coeus-nn/tests/nn_ops/interpolation/bilinear_parity.rs	sequential_bilinear_match_reference	present	crates/coeus-python/tests/test_pytorch_parity.py	test_bilinear_forward_matches_pytorch	Rust and Python provide independent value evidence for the measured operation.
conv	partial	crates/coeus-nn/benches/nn_bench.rs	bench_conv1d_forward	present	crates/coeus-nn/tests/nn_ops/tensor/nn_parity/convolution.rs	test_conv1d_parity	partial	crates/coeus-python/tests/test_pytorch_parity.py	test_conv1d_matches_pytorch	Representative dimensional and transpose variants are covered, not every public configuration.
dropout	partial	crates/coeus-nn/benches/nn_bench.rs	bench_dropout_forward	present	crates/coeus-nn/tests/nn_ops/tensor/nn_parity/regularization.rs	test_dropout_parity	partial	crates/coeus-python/tests/test_pytorch_parity.py	test_dropout_eval_passthrough_matches_pytorch	Criterion and Python cover deterministic evaluation; stochastic training requires seeded statistical evidence.
embedding	present	crates/coeus-nn/benches/nn_bench.rs	bench_embedding_forward	present	crates/coeus-nn/tests/nn_ops/tensor/nn_parity/embedding.rs	test_embedding_parity	present	crates/coeus-python/tests/test_pytorch_parity.py	test_embedding_matches_pytorch	Embedding has Criterion and independent parity evidence.
embeddingbag	partial	crates/coeus-nn/benches/nn_bench.rs	bench_embeddingbag_sum	present	crates/coeus-nn/tests/nn_ops/embedding/embeddingbag_tests.rs	embeddingbag_sum_with_offsets_matches_expected	present	crates/coeus-python/tests/test_pytorch_parity.py	test_embeddingbag_sum_matches_pytorch	Criterion measures sum and mean modes; Rust and Python also cover max semantics.
init	missing			present	crates/coeus-nn/tests/nn/linear_activation_loss.rs	test_initializers	missing			Initializers have Rust value tests but no Criterion or Python differential row.
interpolate	partial	crates/coeus-nn/benches/nn_bench.rs	bench_interpolate2d_nearest_forward	present	crates/coeus-nn/tests/nn_ops/interpolation/interpolate_parity.rs	sequential_interpolate_match_reference	present	crates/coeus-python/tests/test_pytorch_parity.py	test_interpolate_nearest_1d_matches_pytorch	Criterion covers two-dimensional modes; Rust and Python cover one- and two-dimensional semantics.
linear	present	crates/coeus-nn/benches/nn_bench.rs	bench_linear_forward	present	crates/coeus-nn/tests/nn_ops/tensor/nn_parity/linear_norm.rs	test_linear_parity	present	crates/coeus-python/tests/test_pytorch_parity.py	test_linear_matches_pytorch	Linear has Criterion and independent parity evidence.
loss	partial	crates/coeus-nn/benches/nn_bench.rs	bench_cross_entropy_loss	present	crates/coeus-nn/tests/nn_ops/losses/nn_loss/classification.rs	test_nll_loss	present	crates/coeus-python/tests/test_pytorch_parity.py	test_cross_entropy_loss_matches_pytorch	Representative losses are measured and differential-tested; the full family is broader.
module	inapplicable			present	crates/coeus-nn/tests/nn/linear_activation_loss.rs	test_load_parameters_applies_optimizer_step_to_the_module	inapplicable			Module is a support contract rather than an operation family.
normalization	partial	crates/coeus-nn/benches/nn_bench.rs	bench_layernorm_forward	present	crates/coeus-nn/tests/nn_ops/tensor/nn_parity/linear_norm.rs	test_layernorm_parity	present	crates/coeus-python/tests/test_pytorch_parity.py	test_layernorm_matches_pytorch	Representative normalization families are measured; configuration breadth remains partial.
pool	partial	crates/coeus-nn/benches/nn_bench.rs	bench_maxpool2d_forward	present	crates/coeus-nn/tests/nn_ops/normalization/nn_norm_tests/pooling.rs	test_max_pool2d_forward_backward	present	crates/coeus-python/tests/test_pytorch_parity.py	test_maxpool2d_matches_pytorch	Representative pooling dimensions and adaptive modes are covered, not every configuration.
positional	missing			present	crates/coeus-nn/tests/nn_ops/attention/positional_parity.rs	sequential_positional_match_reference	present	crates/coeus-python/tests/test_pytorch_parity.py	test_sinusoidal_encoding_matches_pytorch	Rust and Python differential evidence exists; Criterion measurement is missing.
